type, orderno, description, value, qty
PRD, 4526, "Tuxford 1780 Blue Stilton 225g", 25.73, 9
PRD, 9164, "Tesco Seedless White Grapes 400g", 24.58, 9
PRD, 24437, "Tesco Finest* Ken forrester South African Chenin", 4.03, 4
PRD, 63103, "5011037911028 Galtee Quality 5 Back Bacon Tender Cure Rashers 150g", 13.40, 5
PRD, 5065, "Tesco Olive Spread 250g", 2.14, 8
PRD, 5697, "Sainsbury's Decaffeinated Full Roast Instant Coffee 200g", 3.49, 9
PRD, 10517, "Ella's Kitchen Organic Fruit The Yellow One 5 x 90g", 16.10, 7
PRD, 20021, "The Village Bakery Melmerby Organic Carrot Cake", 21.09, 7
PRD, 10465, "Sainsbury's Egg Mayonnaise Sandwich Filler 410g", 10.62, 1
PRD, 2849, "Sainsbury's Chicken Balti 400g", 1.54, 6
PRD, 13147, "TCP First Aid Antiseptic Cream 30g", 13.91, 3
PRD, 12629, "Unknown - JS New products & hosting", 1.10, 2
PRD, 76301, "LIFT RED BERRIES 150G (EAN TBC)", 6.84, 1
PRD, 34012, "REMINGTON EP500 EPILATOR & SHAVER", 21.34, 9
PRD, 3670, "Sainsbury's Low Price Spiral Bound Ruled Notepad 150 Sheet", 10.61, 1
PRD, 12226, "Sainsbury's Mint Jelly 340g", 21.83, 3
PRD, 2650, "Sainsbury's Tuna (Counter)", 12.58, 5
PRD, 6088, "Vimto Light PET 8 x 2ltr", 10.23, 2
PRD, 11310, "Harmony Hairspray Natural 300ml", 19.02, 1
PRD, 3584, "Alberto Balsam Pear Mango Passion Herbal Shampoo 450ml", 19.46, 4
PRD, 1070, "Tesco Curried Chicken Soup with Yogurt 600g", 21.24, 9
PRD, 40644, "5025251011853 BIG PANCAKES", 23.20, 2
PRD, 56186, "5011111805106  Witch Skin Care Stick 10g", 23.88, 5
PRD, 20953, "Vina Chilcaya Cabernet Sauvignon", 25.10, 4
PRD, 8824, "Wella Silvikrin Maximum Hairspray 300ml", 12.40, 7
PRD, 22219, "Tesco Finest Amontillado 6 x 75cl", 4.48, 2
PRD, 20077, "St. Ivel Hulk Strawberry Flavour & Raspberry Flavour Green Yogurt 380g", 14.23, 4
PRD, 20079, "Tesco Organic Danish Unsmoked Rindless Streaky Bacon Rashers x8 150g", 21.18, 8
PRD, 4246, "Tesco Value Soft Spread 1kg", 8.57, 3
PRD, 11866, "Codorniu Brut Clasico 75cl", 1.97, 9
PRD, 6088, "Vimto NAS Cordial 6 x 15.ltr+ 33% Extra Free", 4.87, 3
PRD, 12540, "Carapelli Mild in Taste Olive Oil 0.50L", 25.00, 5
PRD, 6306, "Bahlsen Butter Leibniz 150g", 24.96, 6
PRD, 67402, "Unearthed Spanish omelette", 8.78, 9
PRD, 3966, "Kraft Light Philadelphia Snack 4x50g Packs", 10.63, 5
PRD, 30565, "Tesco 2 Chicken Breasts with Creamy Leek Sauce 345g (Packaging Only )", 23.11, 8
PRD, 20030, "Sainsbury's Christmas Triple Truckle Pack 3 x 100g", 14.40, 1
PRD, 28907, "5000231061608 Ambi Pur Puresse Electrical Refill Cotton", 5.87, 6
PRD, 6865, "Schwarzkopf Live Jackie Brown Color XXL", 9.77, 9
PRD, 57810, "5051413553510  Asda 400g Special Fried Rice  - Image manipulation fee to airbrush price marks", 21.07, 9
PRD, 6727, "Tesco Finest Toffee Pecan Roulade 476g", 17.69, 9
PRD, 13224, "Unknown - JS New products & hosting", 14.63, 4
PRD, 10034, "Tesco Italiano Macaroni Cheese 435g", 20.03, 1
PRD, 12546, "Tesco Value Lasagne 300g", 8.18, 7
PRD, 11064, "Head & Shoulders Anti-Dandruff Shampoo Ocean Spa 400ml", 9.02, 3
PRD, 3698, "Nuk Silicone Orthodontic Vented Teat Size 1 Large Hole", 9.60, 7
PRD, 5321, "Chardonnay Chennin 75cl", 25.66, 1
PRD, 25282, "BGTY Drinking Chocolate 500g", 4.36, 8
PRD, 11073, "Dorest Cereals Berries & Cherries 800g", 18.13, 8
PRD, 12978, "Jelly Belly® 49 Assorted Flavours 300g", 2.49, 6
PRD, 13271, "Tesco 25 HB Pencils", 25.83, 5
PRD, 13050, "Tesco Double Chocolate Gateau 510g", 3.73, 7
PRD, 4119, "Tesco Finest Roast Potatoes 400g", 2.24, 8
PRD, 3576, "Sainsbury's In-Wash Stain Remover Tablets 176g", 8.43, 2
PRD, 3604, "Brekkies Salmon Trout Pilchard 500g", 21.64, 1
PRD, 12957, "Nimble™ Wholemeal 400g", 1.89, 4
PRD, 20732, "GOSH WATERPROOF E/S LOVE THAT PINK", 16.47, 6
PRD, 13671, "Tesco Choc Chip Cookie Mix 275g", 2.36, 9
PRD, 12290, "Amoy Soy Sauce Light 150ml", 8.80, 1
PRD, 9663, "Tilda Rizazz Brown Basmati Rice 250g", 20.23, 3
PRD, 9009, "Sainsbury's Perform Fabric Conditioner Moon Flower & Ylang Ylang 2 Lit", 25.89, 2
PRD, 11625, "John Player Superkings 200 Pack", 19.44, 2
PRD, 12585, "Tesco Chicken Caesar Sandwich Filler 250g", 12.29, 4
PRD, 4900, "Nivea Sun Childrens Sun Spray 200ml", 2.23, 3
PRD, 33607, "Lindt Soft Toy with Mini Gold Bunnies", 15.74, 6
PRD, 6102, "Lindor Assorted Cornet 200g", 1.71, 5
PRD, 12892, "Old El Paso Roasted Garlic & Chili Cooking Sauce 395g", 1.48, 4
PRD, 40656, "5025251001809 4 GLAZED TOP SOURDOUGH ROLLS", 15.30, 9
PRD, 6727, "Paw Prints in the Snow Penguin & Polar Bear Chocolates 100g", 1.17, 9
PRD, 12045, "Iams Dogfood Puppy & Junior 0-1 Rich in Chicken 3kg", 9.40, 8
PRD, 1860, "Sainsbury's Hot & Sour Vegetables with Rice 400g", 12.11, 4
PRD, 5662, "Ambi Pur Liquifresh Yellow Citrus 55ml", 17.84, 5
PRD, 7215, "DOLMIO STIR-IN COOKING SAUCE SWEET PEPPER TUB 150 G", 9.84, 7
PRD, 3560, "Percol Caffe Expresso Coffee 100g", 1.14, 7
PRD, 7498, "Champagne Rene Florancy 750ml", 9.36, 4
PRD, 20151, "Tesco Lambrusco Bianco Light 75cl", 4.54, 7
PRD, 75262, "5017397044420 Divine Dark Orange & Ginger 100g", 4.86, 1
PRD, 8201, "Skips Prawn Cocktail 12 Packs", 15.48, 3
PRD, 2010, "Alberto Balsam Extra Body Mousse 175ml", 19.25, 9
PRD, 5526, "Walkers® Sensations® Poppadom Bites Spicy Tandoori Masala 18g", 19.48, 5
PRD, 79652, "01505948  TTD King Prawn Biryani   PRODUCT PICKING FEE", 18.87, 7
PRD, 83984, "product move 5013636002305 Lyme Regis Foods Fruitus Smoothie Bites Strawberry 25g", 25.77, 6
PRD, 3733, "Tesco Toothbrush Total Care Medium", 13.97, 7
PRD, 30798, "Tesco To Cook Beef & Ale Casserole 800g", 14.04, 2
PRD, 3235, "Montana East Coast Pinotage 2000 75cl", 13.13, 3
PRD, 1929, "Sainsbury's Minestrone Soup 415g", 15.16, 6
PRD, 12732, "Tesco Cheese Curls 10 Pack", 14.91, 2
PRD, 13173, "Unknown - JS Revised imaged & data", 24.72, 4
PRD, 12557, "Tesco Fresh British Turkey Medallions 500g", 16.06, 3
PRD, 27198, "5021949007238 WeightWatchers® Pizza Oval Ham & Pineapple", 12.14, 5
PRD, 7416, "Sprite 2 Litre Bottle", 15.76, 9
PRD, 59581, "01041446 Sainsbury's Californian Rose Wine 75cl", 11.06, 6
PRD, 7529, "Tesco Micro Oats: Golden Syrup 312g", 8.32, 8
PRD, 13642, "Tesco Fresh Basil Pot", 18.99, 6
PRD, 9164, "Tesco Sundried Tomato Pasta Salad 200g", 3.03, 2
PRD, 11733, "Matey Lucky Bubble Bath", 6.52, 6
PRD, 5807, "Maxell DVD-R 5 pack", 6.93, 9
PRD, 9761, "Findus Pasta Presto Chicken Penne Arrabiata 400g", 24.22, 5
PRD, 79529, "5036324600096 American Muffin Co.Ltd 2 Plain Egg Free Muffins", 22.00, 7
PRD, 3422, "Bacardi Superior Cola 4 x 275ml", 14.36, 1
PRD, 65017, "8410415370728   PATA NEGRA RES 75CL (Service Upgrade)", 8.70, 8
PRD, 81092, "Relisting delisted products - 5023284001032 GLENNANS VEGETABLE CRISPS 100G", 2.75, 6
CR, 20125, 191.95
PRD, 4232, "Tesco Peppered Steak Rosti 450g", 8.89, 2
PRD, 8858, "Gales Rich & Aromatic Honey 340g", 21.22, 6
PRD, 11565, "Alldays Normal 64", 17.48, 5
PRD, 7836, "Sainsbury's Syrup Roly Poly with Custard 195g", 7.83, 3
PRD, 8056, "Palmolive Soft & Gentle Aqua Cool 250ml", 20.88, 2
PRD, 31076, "Upgrade Data 5012686006509 Shepherd Neame Bishops Finger Kentish Strong Ale", 13.04, 1
PRD, 52821, "cost of samples", 5.25, 4
PRD, 10440, "Tesco Reduced Sugar Raspberry Jam 340g", 6.02, 1
PRD, 23001, "Tesco British Selection 485g", 6.11, 2
PRD, 9369, "Tesco 4 All Butter Croissants", 8.32, 2
PRD, 4189, "L'Oreal Paris Excellence Creme Dark Golden Brown", 15.29, 2
PRD, 10924, "Sainsbury's So Organic Pinot Grigio Veneto Indicazione Geografica Tipi", 1.58, 5
PRD, 26959, "5449000000439 Coca-Cola 1.5 Litre", 15.84, 2
PRD, 3473, "VO5 Advanced Silky Smooth Conditioner 250ml", 11.39, 6
PRD, 2960, "Thorntons Toffee Crunch", 14.39, 1
PRD, 13636, "Unknown - Brandbank Image capture", 5.51, 7
PRD, 44409, "Sol Mexican Bier NRB 330ml (EAN TBC)", 18.34, 7
PRD, 21876, "Neutrogena Visibly Clear Blackhead Eliminating Cushions", 19.29, 6
PRD, 8411, "Champneys Every Day All Day Moisture Lotion 40ml", 1.08, 2
PRD, 77135, "8722700003748 HB Hazelbrook Farm Real Dairy Ice Cream Light Vanilla Flavour 568ml", 20.73, 5
PRD, 10596, "Palmolive Naturals Shampoo Extra Control 400ml", 4.01, 7
PRD, 13669, "Unknown - Brandbank Data capture Image capture", 23.90, 9
PRD, 13537, "Unknown - Brandbank Image supplied", 18.28, 5
PRD, 12834, "Barratt Fruit Salad Chew Bar", 8.87, 3
PRD, 10674, "Adidas Female Care Fresh Anti-Perspirant Deodorant 200ml", 16.75, 9
PRD, 44978, "5011295107690 Booker Basics Peas 2.5kg", 6.74, 8
PRD, 7463, "Nicky Clarke Colour Therapy Blonde Goddess Conditioner 250ml", 14.80, 1
PRD, 83984, "product move 5013636002114 Lyme Regis Foods Fruitus Summer Fruits Chunky Fruit Bars 5 x 20g", 6.39, 1
PRD, 26959, "42094333 Diet Coke With Lemon 500ml Bottle", 11.50, 9
PRD, 3253, "Sainsbury's Scottish Smoked Salmon 230g", 1.84, 8
PRD, 6406, "Crosse & Blackwell Branston Wholegrain & Dijon Piccalilli 340g", 13.03, 4
PRD, 5369, "Tesco 6 Buffet Melton Mowbray Pork Pies", 11.19, 8
PRD, 7475, "Banrock Station Chardonnay 75cl", 16.07, 1
PRD, 8140, "Sainsbury's Basic Lemons", 9.31, 8
PRD, 2004, "Wella Silvikrin Mousse Natural Hold 200ml", 7.11, 6
PRD, 6482, "L'Oreal Paris Elvive Replenishing Shampoo Age - Defying 250ml", 15.78, 1
PRD, 4842, "Billingtons Sugar Crystals 500g", 6.35, 6
PRD, 3025, "Bernard Matthews Hot Pops Southern Fried 120g", 3.89, 7
PRD, 4079, "Original Spearmint Source Spearmint Conditioner 250ml", 13.40, 9
PRD, 5356, "Sainsbury's Baby Oil 500ml", 17.68, 8
PRD, 10038, "Sainsbury's Ready To Eat Dried Fuits Apricots 250g", 13.81, 7
CR, 3698, 192.88
PRD, 4758, "Sainsbury's Just Cook 2 Lamb Grillsteaks 400g", 7.90, 2
PRD, 2035, "Sainsbury's Bran Flakes 500g", 7.17, 7
PRD, 85447, "PSS Branded product data only", 11.75, 5
PRD, 7600, "Mature English Goat's Cheddar 240g", 7.87, 5
PRD, 2187, "Sainsbury's Tatse The Difference West Country Veal Escalope ", 23.65, 3
PRD, 26662, "9771471502065 Eve Magazine", 19.87, 3
PRD, 3686, "Tesco Slimming Aid 60 Tablets", 18.21, 8
PRD, 21083, "5018357003044 Dorset Cereals® Super High Fibre 730g", 13.30, 2
PRD, 84803, "Reinstate image & data - 5016175100105 Arkell's 3B 500ml", 8.55, 2
PRD, 8584, "Reach® Toothbrush Wondergripš Ages 6-12", 20.90, 4
PRD, 73370, "Product upgrade - 5060037431012 Hepworth ullman 500ml", 13.11, 3
PRD, 11637, "Tesco Luxury Nut Assortment 300g", 23.89, 6
PRD, 12165, "Nicky Clarke Endless Waves Wave And Curl Defining Shampoo 250ml", 20.39, 2
PRD, 73396, "RENEWAL / REBATE FEE 5060094070025 Copper Dragon Golden Pippin 500ml", 8.37, 7
PRD, 80218, "5011914105854 Bob Martin Soothing Shampoo 300ml", 22.31, 9
PRD, 73278, "Lightly Fruited", 3.24, 9
PRD, 4947, "Cypressa Mixed Olives with Lemon & Garlic 275g", 10.18, 5
PRD, 5679, "Danone Activia Strawberry & Cream 450g", 4.60, 2
PRD, 9490, "Pedigree Christmas Gift Tub", 5.55, 3
PRD, 88795, "5011295123218 Chef's Larder 100 Large Insulated Food Boxes HP4", 2.27, 9
PRD, 5215, "Nestle Rolo 6 Mini Rolls", 23.59, 5
PRD, 13052, "Sharwood's Bengal Spice Mango Chutney Squeezy With Chilli and Spices 3", 25.83, 1
PRD, 9564, "Tesco Healthy Living Cubed Beef Steak", 16.94, 2
PRD, 2314, "Elegant Touch Moisture Balance Nail Poilsh Remover 200ml", 22.45, 7
PRD, 6803, "Asda Rhubarb 525g", 1.71, 7
PRD, 8849, "Neutrogina Hand Cream 15ml", 17.13, 6
PRD, 3678, "Tesco Egg & Bacon Sandwich", 11.45, 5
PRD, 25459, "Sweetcorn & Bacon Chowder", 15.32, 7
PRD, 1500, "Dalla Costa - TUBETT/PASTAI - Lemon/cracked black pepper 250g", 16.51, 1
PRD, 11978, "Sainsbury's Napoli Salami 70g", 3.47, 4
PRD, 12737, "Brace's XXX Thick White Sliced Bread 800g", 6.01, 9
PRD, 9199, "Haliborange TeenSense Extra Omega-3 Fish Oil 30 Chewy Capsules", 1.24, 3
PRD, 5427, "Kellog's Winders Orange 8 Rolls", 5.88, 6
PRD, 10040, "Get Real Organic Tuscan Style Bake 270g", 10.27, 4
PRD, 12221, "Charlie Blue Perfumed Body Fragrance 75ml", 3.14, 8
PRD, 88584, "Product Fee", 22.46, 5
PRD, 1977, "Cadbury Milk Chocolate Biscuit Selection 200g", 12.87, 2
PRD, 1492, "Snopake Zip Pouch (5 Colours)", 9.91, 6
PRD, 1307, "Fairy Non-Biological Tablets 936g", 15.79, 8
PRD, 5597, "Sainsbury's Organic Beef XL Mince 500g", 14.48, 5
PRD, 8537, "Tesco Oak Smoked Scottish Salmon 400g", 12.46, 9
PRD, 10874, "Goodfella's Solos Balsamic Vegetables 233g", 2.80, 1
PRD, 12328, "Telecom Surge Protected Extension Lead 4 Socket 2M 13 Amp", 18.77, 1
PRD, 85125, "5051413856758 ASDA SPELT HONEY", 5.12, 4
PRD, 5007, "Wella Shock Waves Curl Shaping Mousse 200ml", 19.22, 4
PRD, 1551, "Sainsbury's Vampire Fondant", 18.13, 5
PRD, 89389, "2 CD's of MARS Images", 20.76, 6
PRD, 12861, "Unknown - Brandbank Data capture Image capture", 16.46, 3
PRD, 9712, "The Shropshire Spice Co Chestnut Celery & Chive Stuffing Mix 150g", 16.76, 1
PRD, 5471, "Schwartz Salad Bowl Express Italian 18g", 22.59, 7
PRD, 71985, "5051413517215 Bowl", 8.23, 2
PRD, 30182, "5025971101445 Lil-lets Heat Soother for Period Pain", 10.37, 8
PRD, 23178, "Johnnie Walker Red Label", 2.76, 4
PRD, 5386, "Delamere Dairy UHT Goats Milk 1ltr", 4.95, 7
PRD, 44653, "Staropramen 500ml NRB Single Bottle Shot", 15.73, 9
PRD, 2056, "Cahors Cuvee des Arcades 2001 75cl", 22.35, 7
PRD, 4079, "Imperial Leather Moisture Shower 250ml", 11.10, 2
PRD, 13365, "DOLMIO® Extra Spicy Sauce For Bolognese 750g", 9.67, 6
PRD, 8105, "Sainsbury's Sliced Carrots 240g", 19.60, 7
PRD, 13171, "Unknown - JS New products & hosting", 24.06, 6
PRD, 4013, "Tesco British Butcher's Choice 8 Thick Cumberland Pork Sausages 454g", 4.51, 8
PRD, 13170, "Forest Feast Toasted Seeds Boost 175g", 8.60, 4
PRD, 67212, "Tesco Lincs Sausage", 12.98, 5
PRD, 60688, "shopping fee", 8.56, 5
PRD, 10309, "Sainsbury's Taste the Difference 6 Peppered Ham Slices", 8.64, 1
PRD, 5215, "Nestle Milkybar 9 Mini Cakes", 22.12, 4
PRD, 7815, "Nelsons Arnica 30c Pack", 18.08, 9
PRD, 9418, "Garnier Fructis Fortifying Shampoo Anti Dandruff 250ml", 18.38, 5
PRD, 9436, "Galbani Santa Lucia Cucina Mozzarella 400g", 15.46, 8
PRD, 12802, "Charles Worthington Q & A Frizz Moisture Replenishing Finishing Cream ", 11.14, 9
PRD, 25456, "Finest Apple Tray", 15.05, 9
PRD, 74544, "Birds Eye Garden Peas", 17.53, 6
PRD, 8239, "Schwartz Three Chilli Oven & BBQ Marinade 250ml", 21.11, 4
PRD, 11949, "Unknown - Tesco OL Image Only", 1.92, 2
PRD, 11370, "Sainsbury's Easter Egg Hunt 100g", 18.29, 5
PRD, 9693, "Sainsbury's Biere Des Flandres 10 x 25cl", 8.10, 2
PRD, 42739, "5060045379627 Sticky Choc 120g x 2", 6.43, 6
PRD, 1615, "Thorncroft Well-being Detox Cordial 37.5cl", 24.22, 9
PRD, 11523, "Tesco Finest Tarte Aux Fruits 530g", 13.94, 3
PRD, 61902, "5029066002891  Duchy Originals Mandarin Zest & Rose Geranium Hand Lotion 250ml", 18.39, 6
PRD, 12799, "Goulds Silver & Gold Cosmetic Soft White Tissues", 16.92, 9
PRD, 43015, "Red Dessert apples x6", 22.53, 8
PRD, 5520, "Garnier Fructis Style Fibre-Gum Jelly 150ml", 16.46, 9
PRD, 85294, "Tray of Treats 5011295111772", 2.17, 8
PRD, 71860, "5012136002709 Frosty Jack's Cider 500ml", 23.86, 2
PRD, 2878, "Double Choc Muffin Fingers x5", 23.96, 1
PRD, 10258, "Ferrero 5 Pack Giotto 21g", 8.55, 7
PRD, 9009, "Sainsbury's Colour Care Perform Megaperls 30 Tablets", 23.04, 1
PRD, 7454, "Shape Pineapple 1L", 6.13, 7
PRD, 21083, "5036040146113 Paxo Sage and Onion Stuffing with Apple 130g", 18.00, 7
PRD, 4957, "Tesco Healthy Living Spicy BBQ Chicken With Pasta 440g", 6.34, 4
PRD, 1667, "The Shropshire Spice Company Sundried Tomato Stuffing Mix 150g", 18.02, 4
PRD, 69434, "5015734793109 Monogram Havana Cutlery Set 24pc", 17.09, 8
PRD, 72637, "ARDEN SUNFLOWERS EDT 100ML", 14.32, 1
PRD, 43186, "Arena Dutch Crispbakes 100g", 16.84, 5
PRD, 6865, "Schwarzkopf Live Color Accents 6.88 Red Pomegrante", 14.37, 2
PRD, 1205, "Sainsbury's Tuna Steaks x2 300g", 18.59, 2
PRD, 3889, "Stella Artois 18 x 440ml Cans", 25.41, 3
PRD, 61397, "9310371143000 Buderim Ginger Naked Ginger Uncrystallised Sweet Ginger 200g", 7.19, 4
PRD, 6930, "Sainsbury's Iced Fruit Cake 907g", 15.53, 2
PRD, 71985, "5051413541173 White Casserole Dish with Lid", 16.29, 2
PRD, 10648, "Wilkinson Sword Quattro 4 Blades", 14.69, 1
PRD, 3088, "Jordans Luxury Crunchy Fruits & Nuts 750g", 22.79, 6
PRD, 3570, "Smirnoff Red Ice 4 x 275ml", 21.70, 4
PRD, 40045, "Image Manipulation NG Oat Bake Cherry Multi   5050083344510", 16.72, 3
PRD, 7893, "Winalot Chunks in Jelly with Lamb and Turkey 400g", 11.43, 1
PRD, 6727, "Buck's Fizz & Orange Flavour Truffles ", 25.99, 4
PRD, 29789, "Me To You Cosmetic Purse", 16.92, 5
PRD, 12535, "Tesco Italian Chedse & Tomato Filled Pasta 600g", 18.59, 9
PRD, 8849, "Roc Intensive Anti-Wrinkle Care Night 30ml", 21.16, 6
PRD, 9278, "Tesco Canadian Extra Mature Cheddar 500g", 23.48, 1
PRD, 58490, "*02038009 AsdaSq Cut White Med 800g", 15.64, 1
PRD, 5012, "Skin Wisdom Chamomile Gel 100ml", 4.06, 1
PRD, 4009, "Sainsbury's Ready To Roast Potato Wedges 300g", 14.85, 6
PRD, 77077, "5060061214360 Del Monte Naked Fruit Melon Duo 160g", 18.03, 2
PRD, 6678, "Cadbury Dairy Milk Crispies Chunk 31g", 15.80, 4
PRD, 24046, "Unknown Wilko Order189", 12.92, 4
PRD, 71291, "5010038049273 Carling 20 x 300ml Bottles", 22.55, 6
PRD, 11722, "Napolina Bruschetta Topping 270g", 5.46, 1
PRD, 8125, "Bakers Sizzlers 85g Bacon & Cheese Flavour", 10.31, 8
PRD, 5925, "Colgate Softmint Mouthrinse 500ml + 100% EF", 4.47, 7
PRD, 12940, "Unknown - JS New products & hosting", 22.78, 6
PRD, 8985, "Aqua Pura Natural Mineral Water Still 5 Litre", 14.78, 7
PRD, 8849, "Piz Buin® 1 Day Long SPF8 100ml", 20.72, 3
PRD, 72447, "0737052130705 HUGO XX WOMAN EDT 60ML", 8.82, 5
PRD, 50926, "0285044000654 Tesco Custard Doughnuts 5Pk", 1.18, 2
PRD, 24046, "Unknown Wilko Order122", 14.55, 7
PRD, 24046, "Unknown Wilko Order418", 6.73, 5
PRD, 59389, "Time = 8 hours at £50 per hour", 21.90, 3
PRD, 8604, "Homepride Pasta Stir Creamy Ham & Mushroom 350g", 21.87, 1
CR, 4491, 148.72
PRD, 9329, "Tesco Honey & Nut Cornflakes 750g", 4.47, 9
PRD, 89259, "8711500363817 Philips Tornado 20W ES Dimmable", 18.55, 1
PRD, 20121, "Tesco Luxury Soft Green 2pk", 11.13, 9
PRD, 13253, "Unknown - Brandbank Data capture Image capture", 21.49, 7
PRD, 26731, "Sainsbury's Chicken Pork & Chorizo Rice", 16.17, 4
PRD, 9656, "Lily O'Briens Handcrafted Chocolates 190g", 21.21, 7
PRD, 22895, "5019989100903 McDougalls Self Raising Flour PMP 89p", 13.76, 7
PRD, 13169, "Tesco Hot Smoked Salmon Slices 125g", 6.84, 7
PRD, 42082, "5051622483035   So Organic Diced", 13.77, 2
PRD, 13229, "Sainsbury's So Organic Strawberry and Balsamic Dressing 150ml", 14.77, 8
PRD, 4010, "Tesco Chocolate and Vanilla Swiss Roll", 19.44, 2
PRD, 11030, "Quaker Oat Bar Mixed Berry 38g", 23.32, 7
PRD, 8643, "Maltesers 4 Standard Bags 4 x 37g ", 4.01, 7
PRD, 1678, "Sainsbury's Lightly Smoked Orange Blossom Honey Back Bacon 250g", 16.44, 8
PRD, 58343, "5099338000825 Carroll Cuisine Pâté Farmhouse 170g", 13.06, 9
PRD, 5679, "Danone Activia Pineapple 4x125g", 4.09, 5
PRD, 3352, "Tesco Healthy Eating Low Fat Oven Chips 907g", 22.37, 9
PRD, 21972, "Tesco No Adeded Water Wafer Thin Roast Chicken", 2.83, 5
PRD, 13589, "Pantene Pro-V Shampoo Extra Value Size Sheer Volume 750ml", 23.27, 3
PRD, 24046, "Unknown Wilko Order167", 19.59, 6
PRD, 7721, "Warburtons Great Tasting Wholemeal 800g", 4.38, 3
PRD, 30573, "Natural American Spirit Yellow Cigarettes", 12.77, 9
PRD, 5107, "Tesco Finest Apple Sauce with Cider 200g", 13.72, 9
PRD, 4789, "Jettec Jetset Colour Refill Kit", 17.26, 4
PRD, 7847, "Bausch & Lomb ReNu 120ml", 14.44, 3
PRD, 33607, "Lindt Excellence 70% & Gold Bunny", 3.91, 9
PRD, 3067, "Herbal Essences Fruit Fusions Mandarin Shampoo 250ml", 5.15, 2
PRD, 2974, "Tesco Ashbrook Mountain Spring Still Water 2 Litre", 12.53, 7
PRD, 63217, "JS Toastie Extra thick", 1.97, 1
PRD, 24172, "CW RESULTS TKA COLOUR BRIGHT CONDITIONER FOR BLONDES 75ML X6", 4.28, 8
PRD, 7762, "Mars® Delight™ Large Easter Egg 200g", 7.22, 8
PRD, 8596, "Charmin with Absorbubbles 24 Rolls White XXL Pack", 17.54, 5
PRD, 20110, "Sundora Apple Slices 250g", 20.65, 8
PRD, 9671, "Sainsbury s Tuna Pat‚ 115g", 3.49, 1
PRD, 9518, "Strongbow Cider 10x250ml Bottles", 20.05, 7
PRD, 4009, "Sainsbury's Fresh Ready To Cook Green Vegetable Medley 220g", 10.52, 3
PRD, 10093, "Tesco Crispy Lemon Chicken 350g", 14.64, 5
PRD, 49695, "5012917076349  Laxoberal® Liquid Sodium Picosulfate 300ml", 17.08, 4
PRD, 9164, "Tesco Kumquats 115g", 4.19, 2
PRD, 8342, "PJ Smoothie Blackcurrants 250ml", 18.12, 5
PRD, 1452, "Sainsbury's Exfoliating Soap Bar Poppy Seeds & Watermelon Extract 125g", 16.07, 7
PRD, 4627, "Hipp Organic Fruit Pots Apple with Banana & Peach 4x100g", 9.18, 8
PRD, 10718, "Dettol Anti-Bacterial Floor Wipes Multi-Action x 15", 2.05, 2
PRD, 6358, "Asda Good For You! Mushroom Risotto 450g", 17.19, 7
PRD, 3989, "L'Oreal Dermo-Expertise Pure Zone Step 2 Pore Tightening & Clarifying ", 7.89, 8
PRD, 85294, "The York Hamper 5011295111765", 1.78, 9
PRD, 70432, "5051622324130  Tesco Lever Arch File A4 Grey", 8.64, 6
PRD, 6598, "Finish Powerball 3in1 Lemon 48 Tabs 1008g", 13.72, 7
PRD, 4997, "Tesco 6 Pack Floured Batch Rolls", 9.42, 5
PRD, 10498, "Sainsbury's So Organic Spinach ", 11.60, 1
PRD, 12593, "Tesco Value Furniture Polish 300ml", 12.26, 4
PRD, 9344, "Air Wick Winter Collection Vanilla & Festive Spice Refill 21ml", 3.71, 2
PRD, 51099, "5012174002297 Disney Princess 6 Iced Fairy Cakes", 18.08, 4
PRD, 12257, "Charles Back Chenin Blanc Viognier 2005 75cl", 18.78, 5
PRD, 10093, "Tesco Finest Beef & Ale Casserole 600g", 8.15, 1
PRD, 5223, "Tesco 6 Bramley Apple Turnovers", 4.24, 9
PRD, 7132, "Braun Activator 8595 8000 Series", 3.15, 3
PRD, 1745, "Sainsbury's Assorted Toffees 180g", 6.98, 3
PRD, 4261, "The Jelly Bean Factory Gourmet Beans 200g", 1.42, 5
PRD, 55002, "Cost of Samples", 12.52, 3
PRD, 27325, "Image Manipulation 5010696813100 PHILLIPS LOVAGE 70CL", 3.38, 4
PRD, 83851, "product move 01679120   Sainsbury's All Butter Fudge 200g", 6.47, 8
PRD, 77135, "8722700069737 HB Loop the Loop Lollies x 9 585ml", 16.33, 7
PRD, 12304, "Bouchard Summer Fruits Air Freshener Pouch 200g", 24.36, 8
PRD, 39877, "5060150550041 The Organic Pet Biscuits Mint Herb 150 G", 13.11, 4
PRD, 5101, "Tesco Chicken Balti With Pilau rice and naan bread 460g", 23.89, 6
PRD, 11365, "Tesco Hovis Granary Baton", 12.00, 7
PRD, 2055, "Weleda Calendula Toothpaste 75ml", 6.90, 3
PRD, 88795, "5011295123331 Chef's Larder 100 Small Oblong Insulated Takeaway Boxes HP2", 12.60, 2
PRD, 8035, "Mr Kipling Exceedingly Good 6 Victoria Mini Classics", 18.70, 1
PRD, 1475, "The Powerpuff Girls Whole Milk Yogurt 400g", 9.53, 9
PRD, 10456, "Sierra Valley Chardonnay 250ml", 24.97, 6
PRD, 33470, "JSOL So Organic Chianti (EAN TBC)", 16.48, 1
PRD, 22963, "5010153455416 Carlsberg Special Brew 275ml Bottle", 13.68, 3
